Name,Description,Footprint,Manufacturer,MPN,Storage,Total Stock,URL,Meta-Parts,Lead-Times
NLABEL-NEWAEHS-3/8,,,Heatshrink.com,,"shelf2,shelf4",399,https://PARTSBOX.COM/I0BVR8XKA74JVKAXKQTEBGF845V,,
SCREW-1/4.20-1/2IN-SS-SILVER (92196A537),"1/4-20 Thread, 1/2 long, Stainless Steel (18-8), Passivated (Silver) (USE ONLY FOR THIS PART)",,McMaster Carr,92196A537,,0,https://PARTSBOX.COM/IAG5FCTJ9S0KP7AC1BSGEGG2T9S,,
ATSAM3U2EA-AU,MCU 32-bit SAM3U ARM Cortex M3 RISC 128KB Flash 1.8V/3.3V 144-Pin LQFP,,Microchip,ATSAM3U2EA-AU,Office 9,800,https://PARTSBOX.COM/IANFPJVKPAMHJQBP0GFRG5D76KY,,
STM32F070F6P6TR,MCU 32-bit ARM Cortex M0 RISC 32KB Flash 2.5V/3.3V 20-Pin TSSOP T/R,,STMicroelectronics,STM32F070F6P6TR,shelf3,3,https://PARTSBOX.COM/IESYXWKQKXWJCVBX2XH32RS30K9,,
CCHIP-10n-0603-50V,,,,,,1806,https://PARTSBOX.COM/I379THPPYN6KPF86X9410A7J2B7,,
920-0169-50,Jumper Wire Kit,,SchmartBoard,920-0169-50,,0,https://PARTSBOX.COM/I228P594V2YKDS8D7V1JMB4SHBE,,
CB-USB-AC-18-BLK,"USB 2.0 Type-C to Type-A, 1.5ft",,,,shelf4,36,https://PARTSBOX.COM/I54ASSJJTATJ5NBRE9NRZQ837ZY,,
JUMP-2-RTALL,tall red shunt,,,,,836,https://PARTSBOX.COM/I7J0BG7GNEGJFYBBMVBVJPZYVQZ,,
RCHIP-3K3-0402 (RMCF0402FT3K30),Res Thick Film 0402 3.3K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,,Stackpole Electronics,RMCF0402FT3K30,Office 9,9688,https://PARTSBOX.COM/I4DREPGNTQEK978NK5RTF9616PW,,
CCHIP-47u-0805-6.3V (GRM21BR60J476ME15L),"Murata GRM 47¦ÌF ¡À20% X5Rµç½éÖÊ 6.3 V Ö±Á÷ SMD ¶à²ãÌÕ´ÉµçÈÝÆ÷, Íâ¿Ç³ß´ç0805",,Murata,GRM21BR60J476ME15L,Office 9,300,https://PARTSBOX.COM/I9R8QRA05XEJGJ9BQYZMECYYZJ5,,
CF14JT220K,Res Carbon Film 220K Ohm 5% 0.25W(1/4W) -850ppm/ to 0ppm/ Conformal Coated AXL T/R,,Stackpole Electronics,CF14JT220K,shelf4,5000,https://PARTSBOX.COM/I351MGF5NB0HBAA3PBTM8AYXPND,,
NAE-CW1173,ChipWhisperer Lite 8-BIT WITH XMEGA (CLASSIC),,,,shelf5,19,https://PARTSBOX.COM/I0A1FTJP7A0G558ZBZD7AW4K8BX,,
NBOX-WHITE-CW1200-KIT,PRO KIT WHITE (15 x 14 x 6  ),,,,large storage room,4,https://PARTSBOX.COM/IEW7RVFYXD0J7SBB0EXV9VR9WGJ,,
CON06HDR-02 (67996-106HLF),Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk,,Amphenol Communications Solutions,67996-106HLF,shelf4,133,https://PARTSBOX.COM/IF0QJDNCP94HCTATCGMJDRMQJ7S,,
LT3032IDE#TRPBF,"LDO Voltage Regulators Dual 200mA Positive/Negative, Low Noise, Low Dropout Linear Regulator",,Analog Devices,LT3032IDE#TRPBF,shelf3,11,https://PARTSBOX.COM/IFQQBW1C8W6JDW98KFTP07CHNY0,,
2506031027Y0,Ferrite Beads MultLyr Chip Bead 1000 OHM 0603 300mA,,,2506031027Y0,Office 9,150,https://PARTSBOX.COM/IFWH83B2CPGGMKBPWRQ2YBJ4744,,
ES1000-NO.2-B9-X-STK,Cable Accessories Heat Shrinkable Tubing Polyolefin Clear Cut Piece,,TE Connectivity / Raychem,ES1000-NO.2-B9-X-STK,shelf3,10,https://PARTSBOX.COM/I3P7W3PFFRGG1V98Y03W8TWJBTC,,
RCHIP-12R-0603 (RC0603FR-0712RL),Res Thick Film 0603 12 Ohm 1% 0.1W(1/10W) +/-100ppm/ßC Epoxy SMD T/R,603,Yageo,RC0603FR-0712RL,Office 9,2408,https://PARTSBOX.COM/I244PGNYVX0JFR957QCFJVMRFJN,,
KEYSTONE 5100,COMPACT SMT JMPR 6.9MM,,,,shelf3,139,https://PARTSBOX.COM/IFVJ3G3MCJYKS2AEA6CVNQJFXCE,,
3365A/20 100 (3365/20 100),CBL RIBN 20COND 0.05 BLACK 100',,3M,3365/20 100,shelf2,1,https://PARTSBOX.COM/I6X3DB12B8GKM3A24MV2B1RZHY7,,
HS5K V7G,"75ns, 5A, 800V, High Efficient Recovery Rectifier",,Taiwan Semiconductor,HS5K V7G,Parts Kit: ChipSHOUTER SMT,45,https://PARTSBOX.COM/IB6GSAHKRCJKJY8D8JZYSK5DMYN,,
NAE-CW322,ChipSHOUTER-Simple EMFI Target PCA TESTED,,,,shelf4,7,https://PARTSBOX.COM/IAF8PQH2GJ6HK08ZE338J2WW62D,,
2301843-2,Conn D-Subminiature PIN 9 POS 1.39mm Solder RA Thru-Hole 9 Terminal 1 Port Tray,,TE Connectivity,2301843-2,,0,https://PARTSBOX.COM/I1S1FR5D88GGJ28XTJ31HHZHPX8,,
131-3701-801,Conn SMB RCP 0Hz to 4GHz 50Ohm Solder ST Edge Mount Gold,,Cinch Connectivity Solutions,131-3701-801,shelf3,1,https://PARTSBOX.COM/IA8YW6HZKA6GEF9F9HP5TFAY0YQ,,
NPCA-CW308T-XMEGA,"UFO Target, Atmel XMEGA",,,,,0,https://PARTSBOX.COM/IEHWN8HRXB8KYFAG91NTW37G3YA,,
NSLEEVE-PBSET-PSU-03 R (BACK COVER),PROBE SET with Power Supply KIT SLEEVE COVER,,,,packaging area,9,https://PARTSBOX.COM/I35MZX02SGWHK795KDFWHNSRED8,,
Chipwhisperer Lite  Quick guide (F303 - ARM only),"double sided 3.5 x 17"" Chipwhispere Lite 32-bit edition quick guide",,,,shelf4,991,https://PARTSBOX.COM/I9G5V5B0JV4H3H8ABTQJJCHNZ3X,,
RCHIP-1K-0402,Res Thick Film 0402 1K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,,,,,11044,https://PARTSBOX.COM/I8T3Q61VFTGK3W9DR9572VRPCMK,,
BMPR-03.75-01 (SJ61A8),Bumpers and Leveling Elements Bumper Black Molded Polyurethane Adhesive 9.525mm,,3M,SJ61A8,shelf3,3214,https://PARTSBOX.COM/I9M983XPYMTJ9W94CBEXWJJCE2R,,
PLP2-5MM,5mm Light Pipe Front Panel 3mm Round LP,,Bivar,PLP2-5MM,,0,https://PARTSBOX.COM/I7X2A9C8P64G449N1BAP0C1905G,,
NLABEL-F103,STM32F1 LABEL,,,,shelf5,1,https://PARTSBOX.COM/I2KX2HR6B6WJ38A86PS5MRTKYN9,,
NPCB-CW308T-ESP32-02,PCB UFO Target ESP32 PCB,,,,,0,https://PARTSBOX.COM/I9CGV04NQWGHMTA2K7RBYFYB3JN,,
NPCB-CW506-02,ADVANCED BREAKOUT PCB,,,,,0,https://PARTSBOX.COM/I4H4ZGP1KXEGKRBVNCXJC5AC0GV,,
TC58BVG2S0HTAI0,SLC NAND Flash Parallel 3.3V 4G-bit 48-Pin TSOP T/R,,Kioxia,TC58BVG2S0HTAI0,PROTO,3,https://PARTSBOX.COM/I7AX8R03KCAGPK8CMZQ80XT08K5,,
7510A652,"Plastic Syringe, Luer Lock Connection, 5 ml  Capacity, Packs of 10",,mcmaster-carr,7510A652,MECHANICAL AREA,50,https://PARTSBOX.COM/IBFTW7B6Z86J3FAW50TJX2AZSSA,,
BROWN BOX (18X15X10),BROWN BOX,,,,large storage room,28,https://PARTSBOX.COM/I7C4EEM6M18HMP9HHBAQ63BWFQ6,,
5009,Test Point; Yellow; Thru-Hole; Snap-Fit; SilverPlate; 0.063in. Dia.; 0.35In.,,Keystone,5009,shelf3,61,https://PARTSBOX.COM/IFQX604JF60G5MAJJJ3X7FHCM7J,,
NAE-CW305-04-7A100-0.10-M,"Artix 7A100 FPGA Target - 100 mOhm, VCC INT Cap.",,,,,0,https://PARTSBOX.COM/ID06T1KTZ5WGR29J1K9G01KPZDE,,
NPCB-CW308T-CW312T,CW312T to CW308T adapter (2-layer simple version),,,,shelf5,812,https://PARTSBOX.COM/I55287W42Q8GGD8TQ56FHFG057W,,
NAE-CW305-04-7A35-0. 25-X,"Artix 7A35 FPGA Target - 250 mOhm, No VCC",,,,,0,https://PARTSBOX.COM/IAK8EEN6KVRJM996NBG3G2Q5CGD,,
NLABEL_CW520_VIC_BD,Chipshouter victim board set,,,,shelf3,24,https://PARTSBOX.COM/IE4XMTXKZFCGXABVH4J19DM0FPM,,
ADP-65JH HBAN (NOT YET MODIFIED) (ADP-65JH HBAN),Plug-In Adapter Single-OUT 19V 3.42A 90W,,Delta,ADP-65JH HBAN,shelf3,40,https://PARTSBOX.COM/IEW45H9PH9YJSYACS409YYA37A2,,
NAE-CW312T-XC7A35,Artix Target XC7A35,,,,shelf5,6,https://PARTSBOX.COM/I8BRK0BBR3MHWD8R01KHAVD4XWV,,
NLABEL-F215,STM32F2 LABEL,,,,shelf5,1,https://PARTSBOX.COM/IFEJX0MRWS4J5W8EF6MB0XBYPYS,,
MPN-PPPC021LGBN-RC (PPPC021LGBN-RC),"CONN FEMALE 2POS .100"" R/A GOLD",,Sullins,PPPC021LGBN-RC,shelf3,239,https://PARTSBOX.COM/I2N9CHK3DK4J8D9HR8XJ12DFJF3,,
75869-104LF,Connector Shrouded Header 20 Position 2.54mm Solder Straight Thru-Hole,,Amphenol Communications Solutions,75869-104LF,shelf3,2,https://PARTSBOX.COM/I1JHNJY9ZB4H5KB899V638D6EP6,,
FH12S-30S-0.5SH(55),Conn FFC/FPC Connector SKT 30 POS 0.5mm Solder RA SMD Embossed T/R,,Hirose,FH12S-30S-0.5SH(55),,0,https://PARTSBOX.COM/I384FW34NFAGC7BJXVV2JPGFG0N,,
XAL5030-122MEC,"Power inductor, shielded, 20% tol, SMT, RoHS, halogen f",,Coilcraft,XAL5030-122MEC,"Office 9,shelf3",348,https://PARTSBOX.COM/I96Q12XM4MGJHC8PD81ZQ0EVPV8,,
BTNK0340,CAP TACTILE OVAL RED,,C&K Components,BTNK0340,shelf3,21,https://PARTSBOX.COM/IF9JQAZZVC2JTDA7G75Z83K1QD2,,
3522120KFT,3522 120K 1% 3W Resistor Type: Power Resistor Number of Terminations: 2 Size Code: 2512 Packaging Method: Taped & Reeled Tolerance: 1% Power Resistor 2 2512 Taped & Reeled | Surface Mount Resistor | Part Number: 3522120KFT | Internal Number: 9-2176231-9 | TE Connectivity,,TE Connectivity,3522120KFT,Parts Kit: ChipSHOUTER SMT,33,https://PARTSBOX.COM/I8SVG5W8V2YKYQ8SZE28RMHNNKY,,
CSR1206FKR100,Res Thick Film 1206 0.1 Ohm 1% 1/2W ±100ppm/°C Molded SMD SMD Paper T/R,,Stackpole Electronics,CSR1206FKR100,shelf3,46,https://PARTSBOX.COM/I6H6DPDNJM8G48AWRMX6N7FYPH5,,
575-4,"Battery Holders, Contacts and Clips JACK",,Keystone,575-4,shelf3,4,https://PARTSBOX.COM/IE6Q3GD7V2CKME9D8CM0MHTTXSA,,
364018-01,Cable Assembly 1.82m CEE 7/VII to C13 3 to 3 POS M-F 18AWG,,Qualtek,364018-01,packaging area,10,https://PARTSBOX.COM/I1JGTJDHQ9GKDWAMT96SG0GVAWN,,
BMPR-ROUND-CLEAR,ROUND TRANSPARENT RUBBER FEET,,,,shelf3,184,https://PARTSBOX.COM/I1JB5S48QHCGYE9CZVTJFWYZRJV,,
920-0191-01,"Jumper Wire Female 9"" 100PCS",,SchmartBoard,920-0191-01,shelf4,1000,https://PARTSBOX.COM/I7EKBSYBEHRHDQ85BDNJH8CGP01,,
CCHIP-47p-0603-50V_B (GCM1885C1H470JA16D),"Multilayer Ceramic Capacitor, Aec-Q200 Gcm Series, 47 Pf, 5%, C0g / Np0, 50 V",603,Murata,GCM1885C1H470JA16D,Office 9,3300,https://PARTSBOX.COM/I6SZ6D3XJ8AHA19X5MHZBFAPYYT,CCHIP-47p-0603-50V,
NPCA-CW308T-STM32F-CSP-02,UFO TARGET CSP-02,,,,shelf2,15,https://PARTSBOX.COM/IC18ENZ8VTYJAY88NZC08AVRDNF,,
CF14JT10K0,Res Carbon Film 10K Ohm 5% 0.25W(1/4W) -500ppm/ to 0ppm/ Conformal Coated AXL T/R,,Stackpole Electronics,CF14JT10K0,shelf4,5000,https://PARTSBOX.COM/I5XADZER5BYGGB9V5HF36T0SZZK,,
RCHIP-10K-0603 (CRCW060310K0FKEAC),RES 10K OHM 1% 1/10W 0603,,Vishay,CRCW060310K0FKEAC,,0,https://PARTSBOX.COM/I3SNNKR3BZTG049F4CEWA3J4XGD,RCHIP-10K-0603,
1839,"ROUND STANDOFF #4-40 ALUM 5/8""",,Keystone Electronics,1839,shelf3,293,https://PARTSBOX.COM/I5C0N31QGSJG8JB0FXP0HC8SKP7,,
NBOX-BROWN-16X16X8 (S-4393),BROWN BOX CORRUGATED BOXES,,,S-4393,large storage room,50,https://PARTSBOX.COM/I349YJ18CS0K41B0CYJCNC6RYW0,,
ISL32458EIBZ-T7A,ISL32458E Series 5.5 V 20 Mbps ±60 V RS-485/RS-422 Transceiver - SOIC-8,,Renesas,ISL32458EIBZ-T7A,shelf3,100,https://PARTSBOX.COM/I1K8YS68MZ2JYXB9Z5DESWZQ0R4,,
NSLEEVE-CW308-04 (BACK COVER),UFO KIT SLEEVE COVER,,,,packaging area,52,https://PARTSBOX.COM/IEMKP1W3CZAJ3H9B7MTTQM5X1X7,,
ATSAM3U4EA-AU,SAM3U Series 96 MHz 256 kB Flash 52 kB SRAM 32-Bit Microcontroller - LQFP-144,,Microchip,ATSAM3U4EA-AU,"Office 9,shelf3",111,https://PARTSBOX.COM/I1G44AMJ944G3SAW850AR96G2A0,,
NCP1117ST18T3G,1.0 A Positive LDO Linear Voltage Regulator (Fixed and Adjustable) Vout: 1.8 V,,onsemi,NCP1117ST18T3G,"Office 9,shelf3",829,https://PARTSBOX.COM/I7CP0SBD6SGK7383SM1VKZB65RD,,
RCHIP-14k7-0603 (RC0603FR-0714K7L),"SMD Chip Resistor, 14.7 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose",,Yageo,RC0603FR-0714K7L,Office 9,5000,https://PARTSBOX.COM/I1VYY2443YGH6R9W9JNJ6WY94BC,,
ATB322524-0110-T000,TRANSFORMERS AUDIO & SIGNAL,,TDK,ATB322524-0110-T000,Office 9,1640,https://PARTSBOX.COM/I5N8S2RSAPAHB0AK2D0K9YHNEJ6,,
TXB0104D,4-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15 kV ESD Protect 14-SOIC -40 to 85,,Texas Instruments,TXB0104D,shelf3,8,https://PARTSBOX.COM/IBZJ8FS6AK8HRX93YVFEHKP79SX,,
CCHIP-3n-0603,3n0,,,,Office 9,168,https://PARTSBOX.COM/IAHPRF2A9FMH81A7TM0A79ZHE13,,
CHIPSHOUTER-USER-MANUAL,USER MANUAL FOR CHIPSHOUTER,,,,shelf3,45,https://PARTSBOX.COM/I4QGZP8VNKMHE6ATWDR1BBJDS0Q,,
ICE40UP5K-SG48I,iCE40 Series 5280 LUT 39 I/O SMT Ultra-Low Power FPGA - QFN-48,,Lattice Semiconductor,ICE40UP5K-SG48I,PROTO,4,https://PARTSBOX.COM/I0861HS8G6YJ5F9VGR77S2XZ6R8,,
NAE-CW308T-STM32L5HWC,Daughter Cards & OEM Boards STM32L5 w/ Hardware Crypto Target for CW308 (TESTED),,,,shelf5,40,https://PARTSBOX.COM/I1AQ80K2HRTKMQBN3W20FZNK2GA,,
NLABEL-4MM/CW,INJECTION TIP LABEL 4MM/CW (BLACK),,,,shelf3,69,https://PARTSBOX.COM/I51Z6P6CN6YKKDAEY2GEAZ1PM5K,,
TC1-1TG2+,"RF Transformer, 50 ohm, 1.0:1, 0.4-500 MHz, SMT",,Mini-Circuits,TC1-1TG2+,Office 9,41,https://PARTSBOX.COM/I4ES541REDPK98BC3KQ8TBGA7J9,,
MPFX03006-100M1 (92010A116),"Passivated 18-8 Stainless Steel Phillips Flat Head Screw, M3 x 0.5 mm Thread, 6 mm Long",,,92010A116,shelf3,158,https://PARTSBOX.COM/IFAP6ZBA9YCJCV9X4G3XW04TT9K,,
TACTSW-KSC741J (KSC741JLFS),Switch Tactile N.O. SPST Round Button J-Bend 0.05A 32VDC 1VA 3.9N SMD Automotive T/R,,C&K Components,KSC741JLFS,Office 9,138,https://PARTSBOX.COM/I751R92PJJ4JKXAQF8VBDYK283J,,
XC7A35T-1FTG256C,FPGA Artix-7 Family 33280 Cells 28nm Technology 1V 256-Pin FBGA,,Xilinx,XC7A35T-1FTG256C,"Bitelle - NPCA-CWHUSKY Build,Office 9",753,https://PARTSBOX.COM/I43G74C1VB4J2FAZMWZG85S14TS,,
ATSAM4SD16BB-MN,MCU 32-Bit SAM4S ARM Cortex-M4 RISC 1024KB Flash 1.62V to 3.6V 64-Pin VQFN Tray,,Microchip,ATSAM4SD16BB-MN,Office 9,9,https://PARTSBOX.COM/IB9QF4HQ2B0GS59V4MN68K645W1,,
CB-USB-ABMICRO-18 (5137),"USB Type-A to Micro Type-B 2.0 Cable - 5-Pin, 28/28AWG, Black, 1.5ft",,Monoprice,5137,shelf4,145,https://PARTSBOX.COM/ID0W8966TBCGJ080RV4H29058SK,,
RCHIP-2K-0402 (RC0402FR-072KL),"SMD Chip Resistor, 2 kOhm, ï¿½ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose",,Yageo,RC0402FR-072KL,Office 9,10000,https://PARTSBOX.COM/IDVZ9TWXRYRJD2B58DY2KR9P8CP,,
NAE-LPC1114  (),LPC1114 MODIFIED,,,,,0,https://PARTSBOX.COM/IBPK9R0N4APHM0ADQKZ0WD24FK3,,
FT601Q-B-T,Full Speed/High Speed/Super Speed USB 3.0 to FIFO Bridge USB 2.0/USB 3.0 3.3V Tray 76-Pin QFN EP,,FTDI,FT601Q-B-T,Office 9,150,https://PARTSBOX.COM/IDBH60H6F7YK2X9465AT8J3TFSD,,
TSM-103-01-L-SV,Conn Unshrouded Header HDR 3 POS 2.54mm Solder ST SMD Automotive Bulk,,Samtec,TSM-103-01-L-SV,shelf3,12,https://PARTSBOX.COM/I4QWNSBXAWMK399CKX8H9Y9AXDQ,,
91C4 5V Analog Meter,,,,,shelf3,24,https://PARTSBOX.COM/ICNE4Z4JAMAK9NAPMB11PEYW92N,,
RCHIP-845R-0402 (RC0402FR-07845RL),"SMD Chip Resistor, 845 Ohm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose",,Yageo,RC0402FR-07845RL,Office 9,10000,https://PARTSBOX.COM/ID28FM64CHJK1QBXS6QS67G9HE2,,
NLABEL-19V,19V/3.4A POWER ADAPTER,,,,packaging area,130,https://PARTSBOX.COM/ICHN2PQNDTJHHH9ADDQ0RX0P8DY,,
GRM31A7U3A220JW31D,"Smd Multilayer Ceramic Capacitor, Grm Series, 22 Pf, 5%, U2J, 1 Kv, 1206 [3216 Metric] Rohs Compliant: Yes",,Murata,GRM31A7U3A220JW31D,Parts Kit: ChipSHOUTER SMT,189,https://PARTSBOX.COM/IDVGBD0S2EPGYN8JR189XBT7Y6K,,
CRA2512-FZ-R020ELF,Resistor; Metal Film; Res 0.02 Ohms; Pwr-Rtg 3 W; Tol 1%; SMT; 2512; Current Sense,2512,Bourns,CRA2512-FZ-R020ELF,Parts Kit: ChipSHOUTER SMT,100,https://PARTSBOX.COM/I1AG2CBKA7MJ0NAQTJG27FKE87H,,
NPCB-PHYWHISPERER-01,PHYWHISPERER USB REV. 1 PCB,,,,PROTO,5,https://PARTSBOX.COM/IAH6JDJ33JEK8WAB1K9V9K7MR4Y,,
RCHIP-100R-0603 (RC0603FR-07100RL),Res Thick Film 1.6 x 0.8 mm 100 Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,603,Yageo,RC0603FR-07100RL,Office 9,5740,https://PARTSBOX.COM/I01HSYS77GGHG0B8D418WTGXYRK,,
NPCA-CW521 (UNTESTED),BallisticGel CW521 REV. 04 -NPCA,,,,shelf2,15,https://PARTSBOX.COM/IFN85TA1SHPH2J9VH20SQ0K76ST,,
"ANTISTATIC-PINK-10X12"".......(S-7625) (S-7625)","10 x 12"" 4 Mil Anti-Static Reclosable Poly Bags",,,S-7625,packaging area,451,https://PARTSBOX.COM/IER19WQW952J25812646CE77PXB,,
NBOX-ORANGE-SCAPACK-L2,L2 KIT ORANGE (13 x 12 x 4 ),,,,,0,https://PARTSBOX.COM/I3A6PKS8KKJGVJ83Y5C3E0HQHWK,,
NAE-CW308T-STM32F4,Development Boards & Kits - ARM STM32F4 Target for CW308 (TESTED),,,,shelf5,6,https://PARTSBOX.COM/ICYFJ2JKJ64G7K8QFPWCKDKEZYJ,,
SCS220AJTLL,SCS220AJ Series 650 V 20 A Surface Mount SiC Schottky Barrier Diode - TO-263AB,,ROHM,SCS220AJTLL,"Parts Kit: ChipSHOUTER SMT,SMDREELRACK",510,https://PARTSBOX.COM/IB5JPFCSJ82JVQA5H5YTE4BENAH,,
NAE-CW310-K160T/NOBOARD,,,,,,0,https://PARTSBOX.COM/I1JBJ9K4JGRHXY8NJWAE09WSAB7,,
CCHIP-10n-0603-50V_A (MC0603B103K500CT),"CAP, MLCC, 10NF, 50V, X7R, 0603, REEL; Product Range:MULTICOMP - MC Series; Capacitance:0.01µF; Capacitance Tolerance:± 10%; Dielectric Characteristic:X7R; Voltage Rating:50V; Capacitor Case Style:0603 [1608 Metric]; Operating Temperature Min:-55°C; Operating Temperature Max:125°C; Packaging:Full Reel; MSL:(Not Available); SVHC:No SVHC (20-Jun-2013); Capacitor Terminals:SMD",603,Multicomp,MC0603B103K500CT,Office 9,16,https://PARTSBOX.COM/IDSA4XCKR5RKRX8EZ83CATYZNC8,"CCHIP-10n-0603,CCHIP-10n-0603-50V",
M3 BOLTS (93070A076 ) (93070A076),"Alloy Steel Low-Profile Socket Head Screw, Hex Drive, M3 x 0.5 mm Thread, 20 mm Long",,mcmaster-carr,93070A076,shelf3,250,https://PARTSBOX.COM/IFAH2B2VVPCGR19HEXZSVX31C6Z,,
CCHIP-100n-0402-35V (CGA2B3X7R1V104K050BB),CGA Series 0402 0.1 uF 35 V ±10 % Tolerance X7R SMT Multilayer Ceramic Capacitor,,TDK,CGA2B3X7R1V104K050BB,Office 9,12000,https://PARTSBOX.COM/I381HQ6TCRTJ2SAC908JXNG6QYS,,
CCHIP-1n-0603-50V (MC0603B102K500CT),Multilayer Ceramic Capacitor; Capacitor Dielectric Type: Multilayer Ceramic; Capacitance: 1000pF; Capacitance Toleran...,603,Multicomp,MC0603B102K500CT,Office 9,500,https://PARTSBOX.COM/I8GSZ16HWH8J05BZMRA9VREFC85,,
NAE-CW308T-AURIX_TC233,Daughter Cards & OEM Boards Aurix TriCore TC233LP Target for CW308,,,,shelf5,48,https://PARTSBOX.COM/IBKXTN9DZZ6HW7A66TAENFKRTZ7,,
TLV8542DR,TLV8542 RRIO Nanopower Operational Amplifier for Cost-Optimized Systems 1.7V to 3.6V 8-Pin SOIC T/R,,Texas Instruments,TLV8542DR,shelf3,62,https://PARTSBOX.COM/IFHNM0PV8ZMJNX9NBAMMN0BC0W2,,
SHF-120-01-L-D-SM-K-TR,SHF - Samtec 1.27mm Shrouded Terminal / Header Strip,,Samtec,SHF-120-01-L-D-SM-K-TR,Office 9,5,https://PARTSBOX.COM/I9KX8A81RKYG3GAA6Y506WB2BBC,,
RCHIP-39K-0603 (RC0603FR-0739KL),Res Thick Film 1.6 x 0.8 mm 39K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,603,Yageo,RC0603FR-0739KL,Office 9,3900,https://PARTSBOX.COM/IF0FTNDDRDPH9X9C0959BB6ES0D,,
RCHIP-16K2-0603 (RMCF0603FT16K2),Res Thick Film 0603 16.2k Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R,,Stackpole Electronics,RMCF0603FT16K2,Office 9,3050,https://PARTSBOX.COM/IFAYN7KA6H6K6SAQCHXF43FBVSA,,
NAE-CW308T-EFR32MG21-S,UFO TARGET EFR32MG21A TESTED(SOCKET),,,,shelf5,5,https://PARTSBOX.COM/I9PT0HYVAQYHHEABT1FT3KFDD68,,
NLABEL-L562,STM32L562 LABEL,,,,shelf5,1,https://PARTSBOX.COM/IFZAK1MTS02G5B9KN23QJTZ5KQV,,
1551BTRD,Enclosure; IP54; Subminiature; 1551 MINI; TransRed; Plastic; 1.97X.98X.61Inches,,Hammond,1551BTRD,Office 9,90,https://PARTSBOX.COM/I56J5XMQJKWKCQAGYKABNAJ7KPB,,
HSHRINK-BLACK-3,1/16x1/16x10' BLACK,,,,shelf4,1,https://PARTSBOX.COM/IF91F4Z9ASGJ9N8Q4G6HH7KCAAM,,
PWR163S-25-R100FE,Res Thick Film 0.1 Ohm 1% 25W ±100ppm/C D-Pak Gull Wing SMD Automotive T/R,,Bourns,PWR163S-25-R100FE,shelf3,166,https://PARTSBOX.COM/I8NFH74MWARH2981M366FBX8FK3,,
FDV301N,,,,FDV301N,"Office 9,shelf3",444,https://PARTSBOX.COM/I2N6S2MN86RJA182VC2YMQB6G4J,,
NPCA-PHYWHISPERERUSB (UNTESTED),PHYWHISPERER-USB (UNTESTED),,,,shelf2,200,https://PARTSBOX.COM/IETSWGRJPNEJASBBBKECCHSF8BW,,
NPCA-CW340-PROTO REV.4,CW340 bd. Rev 04,,,,PROTO,2,https://PARTSBOX.COM/IFHHYW5Q466JQJ9CW7F6PWR32RS,,
NBOX-WHITE-12 1/8 x 9 1/4 x 4 (S-6714),"12 1⁄8 x 9 1⁄4 x 4"" White Tab Locking Literature Mailers",,ULINE,S-6714,large storage room,3,https://PARTSBOX.COM/I14S4KJG2HYJ3WBJ7K46G5HDFFD,,
NPCA-CW553_LCD_FRONTPANEL-05,CHIPSHOVER FRONT PANEL,,,,shelf2,1,https://PARTSBOX.COM/I9ZMRVT0AB2GNGASKJP3KWDA5F6,,
NAE-PHYWHISPERERUSB (KIT),Other Modules PhyWhisperer-USB Trigger/Analyzer,,,,shelf5,6,https://PARTSBOX.COM/IDPJ76CW8JRJ8R8XWB94JV0JJXW,,
NAE-CWHUSKY-L0/NOUNIT,ChipWhisperer Husky Level 0 kit (NO unit),,NewAE Technology Inc.,,,0,https://PARTSBOX.COM/I5AGZB688JJJ2JBJ01EGJX0N5J8,,
CB-USB-C-C-36BLUE (38896),"Monoprice Palette Series USB 2.0 Type-C to Type-C Charge & Sync Nylon-Braid Cable, 3ft, Blue",,,38896,,0,https://PARTSBOX.COM/I43HE08R3SRH5WBXNEES4MCJSNT,,
HARDWARE HACKING HANDBOOK,HARDWARE HACKING HANDBOOK,,,,shelf5,27,https://PARTSBOX.COM/I4C9S1ASQPMG0589FC156RFG18K,,
SP3130-01ETG,ESD Suppressor TVS Bi-Dir 28V Automotive 2-Pin SOD-882 T/R,,Littelfuse,SP3130-01ETG,Parts Kit: ChipSHOUTER SMT,8,https://PARTSBOX.COM/ICBC173836MGK4AE7AWBD8TZ4B1,,
05095GS06407,"ZEBRA 2.52"" 5095 RESIN RIBBON - 05095GS06407",,,,packaging area,4,https://PARTSBOX.COM/I326YGWWPP8KSDB8RK7QFQB7FZG,,
